QID,Method,Entity,Relation,Ontology,Question,Answer,Para
C-1,Tell me about Sniff Mode.Generate 10 questions with answers based on above writeup. Use JSON format,['Sniff Mode'],[],[],What is sniff mode?,"Sniff mode is a way of capturing network traffic on a network interface by setting the interface to receive all packets on the network, regardless of their destination.",context: 
C-2,Tell me about Sniff Mode.Generate 10 questions with answers based on above writeup. Use JSON format,['Sniff Mode'],[],[],Why is sniff mode useful?,"Sniff mode can be useful for network troubleshooting, network security analysis, and other purposes.",context: 
C-11,Tell me about communication protocol.Generate 10 questions with answers based on above writeup. Use JSON format,['communication protocol'],[],[],What is a communication protocol?,A communication protocol is a set of rules and conventions that govern the exchange of information between devices on a network.,context: 
C-12,Tell me about communication protocol.Generate 10 questions with answers based on above writeup. Use JSON format,['communication protocol'],[],[],Why are communication protocols important?,Communication protocols are important because they enable devices to communicate with each other reliably and efficiently.,context: 
C-21,Tell me about TCP header.Generate 10 questions with answers based on above writeup. Use JSON format.,['TCP header'],[],[],What is a TCP header?,A TCP header is a segment of data that is added to the beginning of a TCP packet when it is transmitted over a network.,context: 
C-22,Tell me about TCP header.Generate 10 questions with answers based on above writeup. Use JSON format.,['TCP header'],[],[],What information does the TCP header contain?,"The TCP header contains several fields that provide information about the packet, such as the source and destination ports, sequence and acknowledgement numbers, and window size.",context: 
C-31,Tell me about Sql Injection. Generate 10 questions with answers based on above writeup. Use JSON format.,['Sql Injection'],[],[],What is SQL Injection?,SQL Injection is a type of web application security vulnerability that allows attackers to inject malicious SQL code into a database query.,context: 
C-32,Tell me about Sql Injection. Generate 10 questions with answers based on above writeup. Use JSON format.,['Sql Injection'],[],[],What can attackers do with SQL Injection?,"Attackers can use SQL Injection to bypass authentication, extract sensitive information, modify or delete data, or perform other unauthorized actions.",context: 
C-41,Tell me about cross side scripting. Generate 10 questions with answers based on above writeup. Use JSON format.,['cross side scripting'],[],[],What is Cross-Site Scripting?,Cross-Site Scripting (XSS) is a type of web application security vulnerability where an attacker can inject malicious code into a web page viewed by other users.,context: 
C-42,Tell me about cross side scripting. Generate 10 questions with answers based on above writeup. Use JSON format.,['cross side scripting'],[],[],What kind of code can an attacker inject through XSS?,"An attacker can inject malicious code, typically in the form of a script, through XSS.",context: 
